"Story","Title","Result","Date","Stability","Duration (s)"
"Tags test","This test will provide an error code of 400 when user tries to access an invalid resource","SUCCESS","2020-08-07T11:14:18.436-04:00[America/New_York]","0.0","2.47"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2020-08-07T11:14:21.324-04:00[America/New_York]","0.0","0.22"
